zapis_id,telefon_pozivatelja,telefon_primaoca,datum,vrijeme,trajanje_sekundi,tip
TZ-0088,061222333,061666555,2026-03-11,09:20,120,poziv
TZ-0089,061666555,035321654,2026-03-12,21:43,240,sms
TZ-0090,063333444,066999000,2026-03-14,09:33,60,poziv
TZ-0091,063444888,063111444,2026-03-10,21:25,90,sms
TZ-0092,035210200,035321654,2026-03-13,12:46,120,poziv
TZ-0093,062777888,063222999,2026-03-11,18:04,90,sms
TZ-0094,062444555,033712345,2026-03-10,16:29,300,poziv
TZ-0095,062444555,063444888,2026-03-11,07:29,0,sms
TZ-0096,035250100,061222333,2026-03-11,09:47,180,poziv
TZ-0097,063111444,063333444,2026-03-11,21:53,360,poziv
TZ-0098,063666777,061222333,2026-03-15,11:00,0,propusten
TZ-0099,061222333,063444888,2026-03-13,10:20,90,poziv
TZ-0100,066999000,061222333,2026-03-10,11:00,60,sms
TZ-0101,063444888,061777222,2026-03-13,14:28,240,poziv
TZ-0102,063444888,062333666,2026-03-15,21:57,90,poziv
TZ-0103,063666777,061444777,2026-03-16,16:57,45,sms
TZ-0104,063111444,066999000,2026-03-10,10:26,60,sms
TZ-0105,063555222,062111222,2026-03-13,19:09,15,poziv
TZ-0106,062666444,061888999,2026-03-10,21:32,30,propusten
TZ-0107,062444555,062777888,2026-03-11,19:38,0,poziv
TZ-0108,063444888,063666777,2026-03-15,20:38,15,propusten
TZ-0109,066999000,062111222,2026-03-13,18:19,300,sms
TZ-0110,035250100,061555666,2026-03-16,20:39,300,poziv
TZ-0111,066999000,062333666,2026-03-13,11:38,360,poziv
TZ-0112,062555333,061333111,2026-03-12,08:22,180,poziv
TZ-0113,062888111,035210200,2026-03-10,21:04,0,poziv
TZ-0114,061777222,033712345,2026-03-12,11:15,0,poziv
TZ-0115,062888111,035210200,2026-03-15,22:23,180,poziv
TZ-0116,063666777,062666444,2026-03-15,11:33,60,poziv
TZ-0117,062333666,063222999,2026-03-13,20:10,30,sms
TZ-0118,063666777,063444888,2026-03-10,10:47,360,poziv
TZ-0119,063333444,062444555,2026-03-13,14:45,120,poziv
TZ-0120,063222999,063555222,2026-03-13,12:23,60,poziv
TZ-0121,061777222,062777888,2026-03-14,07:20,0,sms
TZ-0122,061222333,062777888,2026-03-13,11:45,90,poziv
TZ-0123,062111222,035250100,2026-03-16,16:39,180,poziv
TZ-0124,062444555,063666777,2026-03-15,19:23,180,sms
TZ-0125,061777222,061888999,2026-03-11,13:09,300,poziv
TZ-0126,063222999,035250100,2026-03-12,10:33,180,poziv
TZ-0127,062777888,061888999,2026-03-16,13:50,15,poziv
TZ-0128,061222333,066999000,2026-03-15,20:20,45,poziv
TZ-0129,066999000,063555222,2026-03-13,11:21,0,propusten
TZ-0130,063555222,061666555,2026-03-14,09:07,120,propusten
TZ-0131,061777222,062111222,2026-03-10,22:04,0,sms
TZ-0132,061555666,063111444,2026-03-13,22:12,30,poziv
TZ-0133,061777222,061444777,2026-03-13,10:45,180,sms
TZ-0134,035250100,061222333,2026-03-15,15:30,300,poziv
TZ-0135,062777888,066999000,2026-03-16,19:19,120,poziv
TZ-0136,062111222,035321654,2026-03-16,12:49,15,poziv
TZ-0137,062444555,062111222,2026-03-15,09:15,300,poziv
TZ-0138,062888111,061222333,2026-03-16,18:35,240,poziv
TZ-0139,061222333,063222999,2026-03-14,15:40,90,poziv
TZ-0140,062333666,061444777,2026-03-15,10:16,45,sms
TZ-0141,061222333,062444555,2026-03-13,08:20,120,poziv
TZ-0142,035250100,063111444,2026-03-13,09:21,0,propusten
TZ-0143,061222333,062555333,2026-03-13,16:00,30,poziv
TZ-0144,062333666,063444888,2026-03-11,21:21,15,poziv
TZ-0145,062555333,061444777,2026-03-13,19:41,60,sms
TZ-0146,063222999,061777222,2026-03-13,07:23,45,poziv
TZ-0147,061222333,061666555,2026-03-10,11:25,180,poziv
TZ-0148,061888999,062111222,2026-03-16,09:28,15,sms
TZ-0149,062555333,063111444,2026-03-11,18:00,15,sms
TZ-0150,063222999,062333666,2026-03-15,22:16,0,sms
TZ-0151,061666555,063666777,2026-03-16,17:42,60,sms
TZ-0152,062555333,061666555,2026-03-15,20:10,360,poziv
TZ-0153,062111222,063666777,2026-03-13,16:54,0,propusten
TZ-0154,061888999,035321654,2026-03-11,15:36,30,sms
TZ-0155,035250100,061222333,2026-03-14,14:00,240,poziv
TZ-0156,061222333,062444555,2026-03-15,18:30,45,poziv
TZ-0157,061222333,035250100,2026-03-15,16:00,180,poziv
TZ-0158,061333111,062777888,2026-03-15,10:01,360,poziv
TZ-0159,035210200,062888111,2026-03-14,21:39,0,poziv
TZ-0160,061555666,063555222,2026-03-16,16:44,120,poziv
TZ-0161,061222333,062111222,2026-03-10,13:55,90,poziv
TZ-0162,061333111,062555333,2026-03-11,17:07,0,poziv
TZ-0163,063444888,061444777,2026-03-11,07:38,300,sms
TZ-0164,063555222,062111222,2026-03-13,15:03,300,poziv
TZ-0165,063222999,062444555,2026-03-16,10:33,15,poziv
TZ-0166,061444777,033712345,2026-03-13,08:42,60,sms
TZ-0167,061888999,062555333,2026-03-13,09:48,15,poziv
TZ-0168,035210200,035250100,2026-03-14,17:50,15,poziv
TZ-0169,062555333,061666555,2026-03-10,20:06,360,poziv
TZ-0170,063444888,033712345,2026-03-11,08:18,240,poziv
TZ-0171,062111222,061444777,2026-03-10,08:37,180,propusten
TZ-0172,061222333,061444777,2026-03-11,09:25,60,poziv
TZ-0173,061222333,062555333,2026-03-11,14:45,120,poziv
